time_sec,type,x,y
0.0,CROW,-50,-50
0.5,CROW,520,-50
1.0,CROW,200,-50
1.5,CROW,300,-50
2.0,CROW,100,-50
2.5,CROW,-50,-50
3.0,CROW,520,-50
3.5,CROW,200,-50
4.0,CROW,300,-50
4.5,CROW,100,-50
5.0,CROW,-50,-50
5.5,CROW,520,-50
6.0,CROW,200,-50
6.5,CROW,300,-50
7.0,CROW,100,-50
7.5,CROW,-50,-50
8.0,CROW,520,-50
8.5,CROW,200,-50
9.0,CROW,300,-50
9.5,CROW,100,-50
10.0,CROW,-50,-50
10.5,CROW,520,-50
11.0,CROW,200,-50
11.5,CROW,300,-50
12.0,CROW,100,-50
12.5,CROW,-50,-50
13.0,CROW,520,-50
13.5,CROW,200,-50
14.0,CROW,300,-50
14.5,CROW,100,-50
15.0,CROW,-50,-50
15.5,CROW,520,-50
16.0,CROW,200,-50
16.5,CROW,300,-50
17.0,CROW,100,-50
17.5,CROW,-50,-50
18.0,CROW,520,-50
18.5,CROW,200,-50
19.0,CROW,300,-50
19.5,CROW,100,-50
20.0,CROW,-50,-50
20.5,CROW,520,-50
21.0,CROW,200,-50
21.5,CROW,300,-50
22.0,CROW,100,-50
22.5,CROW,-50,-50
23.0,CROW,520,-50
23.5,CROW,200,-50
24.0,CROW,300,-50
24.5,CROW,100,-50
25.0,CROW,-50,-50
25.5,CROW,520,-50
26.0,CROW,200,-50
26.5,CROW,300,-50
27.0,CROW,100,-50
27.5,CROW,-50,-50
28.0,CROW,520,-50
28.5,CROW,200,-50
29.0,CROW,300,-50
29.5,CROW,100,-50
30.0,CROW,-50,-50
30.5,CROW,520,-50
31.0,CROW,200,-50
31.5,CROW,300,-50
32.0,CROW,100,-50
32.5,CROW,-50,-50
33.0,CROW,520,-50
33.5,CROW,200,-50
34.0,CROW,300,-50
34.5,CROW,100,-50
35.0,CROW,-50,-50
35.5,CROW,520,-50
36.0,CROW,200,-50
36.5,CROW,300,-50
37.0,CROW,100,-50
37.5,CROW,-50,-50
38.0,CROW,520,-50
38.5,CROW,200,-50
39.0,CROW,300,-50
39.5,CROW,100,-50
40.0,CROW,-50,-50
40.5,CROW,520,-50
41.0,CROW,200,-50
41.5,CROW,300,-50
42.0,CROW,100,-50
42.5,CROW,-50,-50
43.0,CROW,520,-50
43.5,CROW,200,-50
44.0,CROW,300,-50
44.5,CROW,100,-50
45.0,CROW,-50,-50
45.5,CROW,520,-50
46.0,CROW,200,-50
46.5,CROW,300,-50
47.0,CROW,100,-50
47.5,CROW,-50,-50
48.0,CROW,520,-50
48.5,CROW,200,-50
49.0,CROW,300,-50
49.5,CROW,100,-50
50.0,CROW,-50,-50
50.5,CROW,520,-50
51.0,CROW,200,-50
51.5,CROW,300,-50
52.0,CROW,100,-50
52.5,CROW,-50,-50
53.0,CROW,520,-50
53.5,CROW,200,-50
54.0,CROW,300,-50
54.5,CROW,100,-50
55.0,CROW,-50,-50
55.5,CROW,520,-50
56.0,CROW,200,-50
